indicator,location,value
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Niger,56.2
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Ogun,8.5
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Osun,51.4
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Oyo,24.1
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Rivers,7.4
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Sokoto,34.1
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Yobe,10.6
Percentage of health facilities offering TB Services that had the National Guideline for the Diagnosis and Treatment of TB in Adults,Zamfara,60.9
Percentage of people age 15-49 years who have been tested for HIV and know their results,Kano Central Sen. Dist.,65.6
Percentage of people age 15-49 years who have been tested for HIV and know their results,Kano North Sen. Dist.,20.1
Percentage of people age 15-49 years who have been tested for HIV and know their results,Kano South Sen. Dist.,9.6
Percentage of pregnant women tested for HIV during antenatal care,Kano Central Sen. Dist.,24.5
Percentage of pregnant women tested for HIV during antenatal care,Kano North Sen. Dist.,27.6
Percentage of pregnant women tested for HIV during antenatal care,Kano South Sen. Dist.,56.9
Percentage of pregnant women tested for HIV during antenatal care,Lagos Central Sen. Dist.,41.1
Percentage of pregnant women tested for HIV during antenatal care,Lagos East Sen. Dist.,34
Availability of Skilled Birth Attendants Including CHEWs,North-Central,58.8
Availability of Skilled Birth Attendants Including CHEWs,North-West,16
Availability of Skilled Birth Attendants Including CHEWs,South-East,17.5
Availability of Skilled Birth Attendants Including CHEWs,South-South,21.6
Availability of Skilled Birth Attendants Including CHEWs,South-West,17.2
Availability of Skilled Birth Attendants Including CHEWs,Nigeria,12.7
Percentage of Facilities with availability of BCG vaccine,Abia,32.2
Percentage of Facilities with availability of BCG vaccine,Adamawa,8.8
Percentage of Facilities with availability of BCG vaccine,Akwa Ibom,15.5
Percentage of Facilities with availability of BCG vaccine,Anambra,46.5
Percentage of Facilities with availability of BCG vaccine,Bauchi,17.9
Percentage of Facilities with availability of BCG vaccine,Bayelsa,58
Percentage of Facilities with availability of BCG vaccine,Benue,32.7
Percentage of Facilities with availability of BCG vaccine,Borno,15.9
Percentage of Facilities with availability of BCG vaccine,Cross River,6.4
Percentage of Facilities with availability of BCG vaccine,Delta,1.3
Percentage of Facilities with availability of BCG vaccine,Ebonyi,58.9
Percentage of Facilities with availability of BCG vaccine,Edo,7.9
Percentage of Facilities with availability of BCG vaccine,Ekiti,13.8
Percentage of Facilities with availability of BCG vaccine,Enugu,20.1
Percentage of Facilities with availability of BCG vaccine,FCT,1
Percentage of Facilities with availability of BCG vaccine,Gombe,19.8
Percentage of Facilities with availability of BCG vaccine,Imo,13.5
Percentage of Facilities with availability of BCG vaccine,Jigawa,9.7
Percentage of Facilities with availability of BCG vaccine,Kaduna,26.1
Percentage of Facilities with availability of BCG vaccine,Kano,35.3
Percentage of Facilities with availability of BCG vaccine,Katsina,3.6
Percentage of Facilities with availability of BCG vaccine,Kebbi,23.4
Percentage of Facilities with availability of BCG vaccine,Kogi,31.9
Percentage of Facilities with availability of BCG vaccine,Kwara,13.6
Percentage of Facilities with availability of BCG vaccine,Lagos,22.1
Percentage of Facilities with availability of BCG vaccine,Nasarawa,34.2
Percentage of Facilities with availability of BCG vaccine,Niger,39.5
Percentage of Facilities with availability of BCG vaccine,Ogun,54.1
Percentage of Facilities with availability of BCG vaccine,Ondo,26.6
Percentage of Facilities with availability of BCG vaccine,Osun,3.2
Percentage of Facilities with availability of BCG vaccine,Oyo,58.8
Percentage of Facilities with availability of BCG vaccine,Rivers,20.6
Percentage of Facilities with availability of BCG vaccine,Sokoto,18.8
Percentage of Facilities with availability of BCG vaccine,Taraba,25.2
Percentage of Facilities with availability of BCG vaccine,Yobe,17.2
Percentage of Facilities with availability of BCG vaccine,Zamfara,22.5
Percentage of Facilities with availability of measles vaccine,Abia,36.1
Percentage of Facilities with availability of measles vaccine,Adamawa,11.5
Percentage of Facilities with availability of measles vaccine,Akwa Ibom,16.8
Percentage of Facilities with availability of measles vaccine,Anambra,38.1
Percentage of Facilities with availability of measles vaccine,Bauchi,19.2
Percentage of Facilities with availability of measles vaccine,Bayelsa,66.2
Percentage of Facilities with availability of measles vaccine,Benue,34.5
Percentage of Facilities with availability of measles vaccine,Borno,21.8
Percentage of Facilities with availability of measles vaccine,Cross River,7.3
Percentage of Facilities with availability of measles vaccine,Delta,5.3
Percentage of Facilities with availability of measles vaccine,Ebonyi,61.5
Percentage of Facilities with availability of measles vaccine,Edo,8.9
Percentage of Facilities with availability of measles vaccine,Ekiti,13.8
Percentage of Facilities with availability of measles vaccine,Enugu,25.2
Percentage of Facilities with availability of measles vaccine,FCT,2
Percentage of Facilities with availability of measles vaccine,Gombe,19.8
Percentage of Facilities with availability of measles vaccine,Imo,14.8
Percentage of Facilities with availability of measles vaccine,Jigawa,10.5
Percentage of Facilities with availability of measles vaccine,Kaduna,26.1
Percentage of Facilities with availability of measles vaccine,Kano,39.5
Percentage of Facilities with availability of measles vaccine,Katsina,8.5
Percentage of Facilities with availability of measles vaccine,Kebbi,20.9
Percentage of Facilities with availability of measles vaccine,Kogi,32.3
Percentage of Facilities with availability of measles vaccine,Kwara,14.6
Percentage of Facilities with availability of measles vaccine,Lagos,22.1
Percentage of Facilities with availability of measles vaccine,Nasarawa,34.2
Percentage of Facilities with availability of measles vaccine,Niger,40.8
Percentage of Facilities with availability of measles vaccine,Ogun,55.3
Percentage of Facilities with availability of measles vaccine,Ondo,26.6
Percentage of Facilities with availability of measles vaccine,Osun,6.9
Percentage of Facilities with availability of measles vaccine,Oyo,60.3
Percentage of Facilities with availability of measles vaccine,Rivers,17.2
Percentage of Facilities with availability of measles vaccine,Sokoto,21.5
Percentage of Facilities with availability of measles vaccine,Taraba,24
Percentage of Facilities with availability of measles vaccine,Yobe,17.2
Percentage of Facilities with availability of measles vaccine,Zamfara,21.2
Percentage of Facilities with availability of pentavalent 3 vaccine,Abia,37.4
Percentage of Facilities with availability of pentavalent 3 vaccine,Adamawa,10.1
Percentage of Facilities with availability of pentavalent 3 vaccine,Akwa Ibom,15.5
Percentage of Facilities with availability of pentavalent 3 vaccine,Anambra,41.4
Percentage of Facilities with availability of pentavalent 3 vaccine,Bauchi,21.2
Percentage of Facilities with availability of pentavalent 3 vaccine,Bayelsa,66.2
Percentage of Facilities with availability of pentavalent 3 vaccine,Benue,40.5
Percentage of Facilities with availability of pentavalent 3 vaccine,Borno,23
Percentage of Facilities with availability of pentavalent 3 vaccine,Cross River,6.4
Percentage of Facilities with availability of pentavalent 3 vaccine,Delta,6.6
Percentage of Facilities with availability of pentavalent 3 vaccine,Ebonyi,61.1
Percentage of Facilities with availability of pentavalent 3 vaccine,Edo,9.9
Percentage of Facilities with availability of pentavalent 3 vaccine,Ekiti,19.8
Percentage of Facilities with availability of pentavalent 3 vaccine,Enugu,16.3
Percentage of Facilities with availability of pentavalent 3 vaccine,FCT,5.5
Percentage of Facilities with availability of pentavalent 3 vaccine,Gombe,19.8
Percentage of Facilities with availability of pentavalent 3 vaccine,Imo,16.1
Percentage of Facilities with availability of pentavalent 3 vaccine,Jigawa,8.8
Percentage of Facilities with availability of pentavalent 3 vaccine,Kaduna,26.1
Percentage of Facilities with availability of pentavalent 3 vaccine,Kano,39.5
Percentage of Facilities with availability of pentavalent 3 vaccine,Katsina,8.5
Percentage of Facilities with availability of pentavalent 3 vaccine,Kebbi,25.9
Percentage of Facilities with availability of pentavalent 3 vaccine,Kogi,30.9
Percentage of Facilities with availability of pentavalent 3 vaccine,Kwara,14.6
Percentage of Facilities with availability of pentavalent 3 vaccine,Lagos,23.2
Percentage of Facilities with availability of pentavalent 3 vaccine,Nasarawa,34.2
Percentage of Facilities with availability of pentavalent 3 vaccine,Niger,36.8
Percentage of Facilities with availability of pentavalent 3 vaccine,Ogun,55.3
Percentage of Facilities with availability of pentavalent 3 vaccine,Ondo,27.9
Percentage of Facilities with availability of pentavalent 3 vaccine,Oyo,60.3
Percentage of Facilities with availability of pentavalent 3 vaccine,Rivers,18.2
Percentage of Facilities with availability of pentavalent 3 vaccine,Sokoto,18.8
Percentage of Facilities with availability of pentavalent 3 vaccine,Taraba,24
Percentage of Facilities with availability of pentavalent 3 vaccine,Yobe,17.2
Percentage of Facilities with availability of pentavalent 3 vaccine,Zamfara,18.4
Percentage of Facilities with availability of polio vaccine,Abia,36.1
Percentage of Facilities with availability of polio vaccine,Adamawa,8.8
Percentage of Facilities with availability of polio vaccine,Akwa Ibom,16.8
Percentage of Facilities with availability of polio vaccine,Anambra,47.8
Percentage of Facilities with availability of polio vaccine,Bauchi,19.2
Percentage of Facilities with availability of polio vaccine,Bayelsa,63.4
Percentage of Facilities with availability of polio vaccine,Benue,40.5
Percentage of Facilities with availability of polio vaccine,Borno,14.7
Percentage of Facilities with availability of polio vaccine,Cross River,3.2
Percentage of Facilities with availability of polio vaccine,Delta,4
Percentage of Facilities with availability of polio vaccine,Ebonyi,62.8
Percentage of Facilities with availability of polio vaccine,Edo,8.9
Percentage of Facilities with availability of polio vaccine,Ekiti,19.8
Percentage of Facilities with availability of polio vaccine,Enugu,21.9
Percentage of Facilities with availability of polio vaccine,FCT,4.3
Percentage of Facilities with availability of polio vaccine,Gombe,19.8
Percentage of Facilities with availability of polio vaccine,Imo,12.3
Percentage of Facilities with availability of polio vaccine,Jigawa,9.7
Percentage of Facilities with availability of polio vaccine,Kaduna,24.9
Percentage of Facilities with availability of polio vaccine,Kano,36.7
Percentage of Facilities with availability of polio vaccine,Katsina,8.5
Percentage of Facilities with availability of polio vaccine,Kebbi,25.9
Percentage of Facilities with availability of polio vaccine,Kogi,32.3
Percentage of Facilities with availability of polio vaccine,Kwara,26.9
Percentage of Facilities with availability of polio vaccine,Ogun,9.7
Percentage of Facilities with availability of polio vaccine,Ondo,33
Percentage of Facilities with availability of polio vaccine,Rivers,11
Percentage of Facilities with availability of polio vaccine,Sokoto,9.2
Percentage of Facilities with availability of polio vaccine,Yobe,8.7
Percentage of health facilities offering TB services that have the national guideline for clinical management of TB and HIV/AIDS-related conditions in Nigeria,Anambra,47.3
Percentage of health facilities offering TB services that have the national guideline for clinical management of TB and HIV/AIDS-related conditions in Nigeria,Borno,2.2
Percentage of health facilities offering TB services that have the national guideline for clinical management of TB and HIV/AIDS-related conditions in Nigeria,Cross River,6.5
Percentage of health facilities offering TB services that have the national guideline for clinical management of TB and HIV/AIDS-related conditions in Nigeria,Edo,19.8
Percentage of health facilities offering TB services that have the national guideline for clinical management of TB and HIV/AIDS-related conditions in Nigeria,Ekiti,20.6
Percentage of health facilities offering TB services that have the national guideline for clinical management of TB and HIV/AIDS-related conditions in Nigeria,Kano,42.4
Percentage of health facilities offering TB services that have the national guideline for clinical management of TB and HIV/AIDS-related conditions in Nigeria,Kogi,10
Percentage of health facilities offering TB services that have the national guideline for clinical management of TB and HIV/AIDS-related conditions in Nigeria,Kwara,2.8
Percentage of health facilities offering TB services that have the national guideline for clinical management of TB and HIV/AIDS-related conditions in Nigeria,Lagos,27.1
Percentage of health facilities offering TB services that have the national guideline for clinical management of TB and HIV/AIDS-related conditions in Nigeria,Nasarawa,7.4
Percentage of health facilities offering TB services that have the national guideline for clinical management of TB and HIV/AIDS-related conditions in Nigeria,Niger,38
Percentage of health facilities offering TB services that have the national guideline for clinical management of TB and HIV/AIDS-related conditions in Nigeria,Ogun,33
Percentage of health facilities offering TB services that have the national guideline for clinical management of TB and HIV/AIDS-related conditions in Nigeria,Ondo,14.4
Percentage of health facilities offering TB services that have the national guideline for clinical management of TB and HIV/AIDS-related conditions in Nigeria,Plateau,16
Percentage of health facilities offering TB services that have the national guideline for clinical management of TB and HIV/AIDS-related conditions in Nigeria,Rivers,30.6
Percentage of health facilities offering TB services that have the national guideline for clinical management of TB and HIV/AIDS-related conditions in Nigeria,Sokoto,42.5
Percentage of health facilities offering TB services that have the national guideline for clinical management of TB and HIV/AIDS-related conditions in Nigeria,Taraba,44.2
Percentage of health facilities offering TB services that have the national guideline for clinical management of TB and HIV/AIDS-related conditions in Nigeria,Yobe,37.3
Percentage of health facilities offering TB services that have the national guideline for clinical management of TB and HIV/AIDS-related conditions in Nigeria,Nigeria,16.9
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Abia,6.6
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Adamawa,20.2
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Akwa Ibom,3.4
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Bauchi,27.3
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Bayelsa,20.3
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Borno,11.4
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Edo,5
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Ekiti,13.7
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Enugu,38.5
Percentage of Primary Health Facilities with Oral Contraceptive Pills,FCT,5.8
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Imo,7
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Jigawa,10
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Kaduna,7.2
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Kano,14.1
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Kebbi,26.3
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Kogi,16.5
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Kwara,14
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Lagos,4
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Nasarawa,13.3
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Niger,11.5
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Ogun,25.2
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Ondo,25.9
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Osun,7.5
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Oyo,16.5
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Plateau,13.2
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Rivers,10.1
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Sokoto,13.4
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Taraba,30.4
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Yobe,25
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Zamfara,10.2
Percentage of Primary Health Facilities with Oral Contraceptive Pills,Nigeria,35.6
Percentage of Primary Health Facilities with Oral Contraceptive Pills,North-Central,3.3
Percentage of Primary Health Facilities with Oral Contraceptive Pills,North-East,40.8
Percentage of Primary Health Facilities with Oral Contraceptive Pills,North-West,47
Percentage of Primary Health Facilities with Oral Contraceptive Pills,South-East,13
Percentage of Primary Health Facilities with Oral Contraceptive Pills,South-West,13.4
Percentage of Primary Health Facilities with Injectable contraceptive,Nigeria,16
Percentage of Primary Health Facilities with Injectable contraceptive,North-Central,23.3
Percentage of Primary Health Facilities with Injectable contraceptive,North-East,38.8
Percentage of Primary Health Facilities with Injectable contraceptive,North-West,43
Percentage of Primary Health Facilities with Injectable contraceptive,South-East,39.9
Percentage of Primary Health Facilities with Injectable contraceptive,South-West,11.2
Percentage of Primary Health Facilities with Injectable contraceptive,Abia,26.5
Percentage of Primary Health Facilities with Injectable contraceptive,Adamawa,25.8
Percentage of Primary Health Facilities with Injectable contraceptive,Akwa Ibom,14.1
Percentage of Primary Health Facilities with Injectable contraceptive,Anambra,2.7
Percentage of Primary Health Facilities with Injectable contraceptive,Bauchi,40.4
Percentage of Primary Health Facilities with Injectable contraceptive,Bayelsa,15.9
Percentage of Primary Health Facilities with Injectable contraceptive,Borno,12.7
Percentage of Primary Health Facilities with Injectable contraceptive,Delta,1.3
Percentage of Primary Health Facilities with Injectable contraceptive,Ebonyi,1.4
Percentage of Primary Health Facilities with Injectable contraceptive,Edo,13.5
Percentage of Primary Health Facilities with Injectable contraceptive,Ekiti,16.3
Percentage of Primary Health Facilities with Injectable contraceptive,Enugu,46.7
Percentage of Primary Health Facilities with Injectable contraceptive,FCT,4.4
Percentage of Primary Health Facilities with Injectable contraceptive,Gombe,1.4
Percentage of Primary Health Facilities with Injectable contraceptive,Imo,7.6
Percentage of Primary Health Facilities with Injectable contraceptive,Jigawa,23.4
Percentage of Primary Health Facilities with Injectable contraceptive,Kaduna,7.2
Percentage of Primary Health Facilities with Injectable contraceptive,Kano,18.4
Percentage of Primary Health Facilities with Injectable contraceptive,Kebbi,15
Percentage of Primary Health Facilities with Injectable contraceptive,Kogi,16.5
Percentage of Primary Health Facilities with Injectable contraceptive,Kwara,39.4
Percentage of Primary Health Facilities with Injectable contraceptive,Lagos,18.5
Percentage of Primary Health Facilities with Injectable contraceptive,Nasarawa,36.6
Percentage of Primary Health Facilities with Injectable contraceptive,Niger,37
Percentage of Primary Health Facilities with Injectable contraceptive,Ogun,11.7
Percentage of Primary Health Facilities with Injectable contraceptive,Ondo,11.9
Percentage of Primary Health Facilities with Injectable contraceptive,Osun,13.4
Percentage of Primary Health Facilities with Injectable contraceptive,Oyo,12.4
Percentage of Primary Health Facilities with Injectable contraceptive,Plateau,43.7
Percentage of Primary Health Facilities with Injectable contraceptive,Rivers,59.7
Percentage of Primary Health Facilities with Injectable contraceptive,Sokoto,64.5
Percentage of Primary Health Facilities with Injectable contraceptive,Taraba,51.6
Percentage of Primary Health Facilities with Injectable contraceptive,Yobe,1.9
Percentage of Primary Health Facilities with Injectable contraceptive,Zamfara,28.3
Percentage of Primary Health Facilities with Male Condoms,Abia,24.1
Percentage of Primary Health Facilities with Male Condoms,Adamawa,33.3
Percentage of Primary Health Facilities with Male Condoms,Akwa Ibom,5.6
Percentage of Primary Health Facilities with Male Condoms,Bauchi,29.7
Percentage of Primary Health Facilities with Male Condoms,Bayelsa,21.7
Percentage of Primary Health Facilities with Male Condoms,Borno,7.2
Percentage of Primary Health Facilities with Male Condoms,Delta,2.4
Percentage of Primary Health Facilities with Male Condoms,Ebonyi,2.8
Percentage of Primary Health Facilities with Male Condoms,Edo,18.3
Percentage of Primary Health Facilities with Male Condoms,Ekiti,19.1
Percentage of Primary Health Facilities with Male Condoms,Enugu,46.1
Percentage of Primary Health Facilities with Male Condoms,FCT,25.7
Percentage of Primary Health Facilities with Male Condoms,Gombe,14
Percentage of Primary Health Facilities with Male Condoms,Imo,20.4
Percentage of Primary Health Facilities with Male Condoms,Jigawa,34.4
Percentage of Primary Health Facilities with Male Condoms,Kaduna,8.4
Percentage of Primary Health Facilities with Male Condoms,Kano,9.8
Percentage of Primary Health Facilities with Male Condoms,Katsina,3.3
Percentage of Primary Health Facilities with Male Condoms,Kebbi,22.2
Percentage of Primary Health Facilities with Male Condoms,Kogi,13.7
Percentage of Primary Health Facilities with Male Condoms,Kwara,21.1
Percentage of Primary Health Facilities with Male Condoms,Lagos,17.4
Percentage of Primary Health Facilities with Male Condoms,Nasarawa,16.9
Percentage of Primary Health Facilities with Male Condoms,Niger,7.6
Percentage of Primary Health Facilities with Male Condoms,Ogun,35.6
Percentage of Primary Health Facilities with Male Condoms,Ondo,35.1
Percentage of Primary Health Facilities with Male Condoms,Osun,18.6
Percentage of Primary Health Facilities with Male Condoms,Taraba,3
Percentage of Primary Health Facilities with Male Condoms,Yobe,6.4
Percentage of Primary Health Facilities with Male Condoms,Zamfara,3.2
Percentage of Primary Health Facilities with Male Condoms,North-East,1.4
Percentage of Primary Health Facilities with Male Condoms,North-West,6.2
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,North-Central,14.3
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,North-East,20.3
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,North-West,6.6
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,South-East,6.2
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Akwa Ibom,6.4
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Bauchi,15.9
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Bayelsa,7.1
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Edo,5
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Enugu,15.1
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,FCT,3.1
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Imo,7.6
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Kaduna,3.5
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Kano,2.5
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Kogi,13.7
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Kwara,10.5
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Lagos,28
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Nasarawa,33.1
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Niger,18.9
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Ogun,21.6
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Ondo,22.1
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Osun,21.9
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Oyo,11.9
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Plateau,30.7
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Rivers,34.9
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Sokoto,21.1
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Taraba,22.1
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Yobe,23.2
Percentage of Primary Health Facilities with Implants or Intra-uterine contraceptive device,Zamfara,23.5
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Nigeria,24.3
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),North-Central,13.3
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),North-East,30.7
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),North-West,36.3
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),South-East,22.7
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),South-South,22.7
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),South-West,22.8
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Abia,23.9
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Adamawa,12.2
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Akwa Ibom,29.6
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Anambra,34.8
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Bauchi,22.2
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Bayelsa,23
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Benue,23.7
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Borno,26
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Cross River,26
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Delta,20
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Ebonyi,44.6
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Edo,70.9
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Ekiti,20.9
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Enugu,50.3
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),FCT,31.1
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Gombe,46.5
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Imo,63.6
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Jigawa,22
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Kaduna,26.9
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Kano,17.6
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Katsina,18.1
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Kebbi,28.8
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Kogi,13.8
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Kwara,15.9
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Lagos,26.4
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Nasarawa,58.6
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Niger,32.3
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Ogun,61.4
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Ondo,45.1
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Osun,2.8
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Oyo,17
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Plateau,31
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Rivers,33.3
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Sokoto,27.5
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Taraba,26.4
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Yobe,34
Proportion of Primary Health Facilities that had Oxytocin (with valid expiry date),Zamfara,15.7
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Nigeria,8.8
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),North-Central,3.3
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),North-East,19.7
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),North-West,13.4
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),South-East,6.7
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),South-South,6.7
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),South-West,4
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Abia,15.7
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Adamawa,29.1
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Akwa Ibom,2
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Anambra,8.4
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Bauchi,36
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Bayelsa,7
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Benue,2.8
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Borno,14.1
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Cross River,7.3
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Delta,6.2
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Ebonyi,8.6
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Edo,2.6
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Enugu,1.4
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),FCT,1.4
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Gombe,13.1
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Imo,1.4
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Jigawa,10.3
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Kaduna,10.1
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Kano,20.5
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Katsina,9.7
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Kebbi,17.3
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Kogi,1.1
